Rank,NOC,Gold,Silver,Bronze,Total,year
1,China,48,22,30,100,2008
2,United States,36,39,37,112,2008
3,Russia,24,13,23,60,2008
4,Great Britain,19,13,19,51,2008
5,Germany,16,11,14,41,2008
6,Australia,14,15,17,46,2008
7,South Korea,13,11,8,32,2008
8,Japan,9,8,8,25,2008
9,Italy,8,9,10,27,2008
10,France,7,16,20,43,2008
11,Netherlands,7,5,4,16,2008
12,Ukraine,7,4,11,22,2008
13,Kenya,6,4,6,16,2008
14,Spain,5,11,3,19,2008
15,Jamaica,5,4,2,11,2008
16,Poland,4,5,2,11,2008
17,Ethiopia,4,2,1,7,2008
18,Romania,4,1,4,9,2008
19,Cuba,3,10,17,30,2008
20,Canada,3,9,8,20,2008
21,Hungary,3,5,2,10,2008
22,Norway,3,5,1,9,2008
23,Brazil,3,4,10,17,2008
24,Belarus,3,4,7,14,2008
25,Czech Republic,3,3,1,7,2008
26,Slovakia,3,3,0,6,2008
27,New Zealand,3,2,4,9,2008
28,Georgia,3,2,2,7,2008
29,Kazakhstan,2,3,4,9,2008
30,Denmark,2,2,3,7,2008
31,North Korea,2,2,2,6,2008
32,Thailand,2,2,2,6,2008
33,Mongolia,2,2,0,4,2008
34,Switzerland,2,1,4,7,2008
35,Argentina,2,0,4,6,2008
36,Mexico,2,0,2,4,2008
37,Belgium,2,0,0,2,2008
38,Zimbabwe,1,3,0,4,2008
39,Slovenia,1,2,2,5,2008
40,Azerbaijan,1,1,4,6,2008
41,Indonesia,1,1,4,6,2008
42,Bulgaria,1,1,3,5,2008
43,Turkey,1,1,3,5,2008
44,Chinese Taipei,1,1,2,4,2008
45,Finland,1,1,2,4,2008
46,Latvia,1,1,1,3,2008
47,Dominican Republic,1,1,0,2,2008
48,Estonia,1,1,0,2,2008
49,Portugal,1,1,0,2,2008
50,Trinidad and Tobago,1,1,0,2,2008
51,India,1,0,2,3,2008
52,Iran,1,0,1,2,2008
53,Cameroon,1,0,0,1,2008
54,Panama,1,0,0,1,2008
55,Tunisia,1,0,0,1,2008
56,Sweden,0,4,1,5,2008
57,Lithuania,0,3,2,5,2008
58,Nigeria,0,3,2,5,2008
59,Croatia,0,2,3,5,2008
60,Colombia,0,2,1,3,2008
61,Greece,0,2,1,3,2008
62,Armenia,0,1,4,5,2008
63,Uzbekistan,0,1,3,4,2008
64,Austria,0,1,2,3,2008
65,Ireland,0,1,2,3,2008
66,Kyrgyzstan,0,1,2,3,2008
67,Serbia,0,1,2,3,2008
68,Algeria,0,1,1,2,2008
69,Bahamas,0,1,1,2,2008
70,Morocco,0,1,1,2,2008
71,Tajikistan,0,1,1,2,2008
72,Chile,0,1,0,1,2008
73,Ecuador,0,1,0,1,2008
74,Iceland,0,1,0,1,2008
75,Malaysia,0,1,0,1,2008
76,Samoa,0,1,0,1,2008
77,Singapore,0,1,0,1,2008
78,South Africa,0,1,0,1,2008
79,Sudan,0,1,0,1,2008
80,Vietnam,0,1,0,1,2008
81,Egypt,0,0,2,2,2008
82,Afghanistan,0,0,1,1,2008
83,Israel,0,0,1,1,2008
84,Mauritius,0,0,1,1,2008
85,Moldova,0,0,1,1,2008
86,Togo,0,0,1,1,2008
87,Venezuela,0,0,1,1,2008
