Rank,NOC,Gold,Silver,Bronze,Total,year
1,United States,48,26,30,104,2012
2,China,39,31,22,92,2012
3,Great Britain,29,18,18,65,2012
4,Russia,18,21,26,65,2012
5,South Korea,13,9,9,31,2012
6,Germany,11,20,13,44,2012
7,France,11,11,13,35,2012
8,Australia,8,15,12,35,2012
9,Italy,8,9,11,28,2012
10,Hungary,8,4,6,18,2012
11,Japan,7,14,17,38,2012
12,Iran,7,5,1,13,2012
13,Netherlands,6,6,8,20,2012
14,New Zealand,6,2,5,13,2012
15,Ukraine,5,4,10,19,2012
16,Cuba,5,3,7,15,2012
17,Spain,4,10,6,20,2012
18,Jamaica,4,5,4,13,2012
19,Czech Republic,4,4,3,11,2012
20,South Africa,4,1,1,6,2012
21,North Korea,4,0,3,7,2012
22,Brazil,3,5,9,17,2012
23,Kazakhstan,3,2,6,11,2012
24,Poland,3,2,6,11,2012
25,Ethiopia,3,2,3,8,2012
26,Croatia,3,1,2,6,2012
27,Canada,2,6,10,18,2012
28,Belarus,2,5,3,10,2012
29,Kenya,2,4,7,13,2012
30,Denmark,2,4,3,9,2012
31,Romania,2,4,1,7,2012
32,Azerbaijan,2,2,5,9,2012
33,Switzerland,2,2,0,4,2012
34,Norway,2,1,1,4,2012
35,Lithuania,2,0,3,5,2012
36,Tunisia,2,0,1,3,2012
37,Sweden,1,4,3,8,2012
38,Colombia,1,3,5,9,2012
39,Mexico,1,3,4,8,2012
40,Georgia,1,2,3,6,2012
41,Ireland,1,1,4,6,2012
42,Argentina,1,1,2,4,2012
43,Serbia,1,1,2,4,2012
44,Slovenia,1,1,2,4,2012
45,Trinidad and Tobago,1,1,2,4,2012
46,Turkey,1,1,1,3,2012
47,Dominican Republic,1,1,0,2,2012
48,Chinese Taipei,1,0,1,2,2012
49,Latvia,1,0,1,2,2012
50,Algeria,1,0,0,1,2012
51,Bahamas,1,0,0,1,2012
52,Bahrain,1,0,0,1,2012
53,Grenada,1,0,0,1,2012
54,Uganda,1,0,0,1,2012
55,Venezuela,1,0,0,1,2012
56,Egypt,0,3,1,4,2012
57,India,0,2,4,6,2012
58,Mongolia,0,2,3,5,2012
59,Thailand,0,2,2,4,2012
60,Bulgaria,0,2,1,3,2012
61,Finland,0,2,1,3,2012
62,Indonesia,0,2,1,3,2012
63,Slovakia,0,1,3,4,2012
64,Belgium,0,1,2,3,2012
65,Armenia,0,1,1,2,2012
66,Estonia,0,1,1,2,2012
67,Malaysia,0,1,1,2,2012
68,Puerto Rico,0,1,1,2,2012
69,Qatar,0,1,1,2,2012
70,Botswana,0,1,0,1,2012
71,Cyprus,0,1,0,1,2012
72,Gabon,0,1,0,1,2012
73,Guatemala,0,1,0,1,2012
74,Montenegro,0,1,0,1,2012
75,Portugal,0,1,0,1,2012
76,Uzbekistan,0,0,3,3,2012
77,Greece,0,0,2,2,2012
78,Singapore,0,0,2,2,2012
79,Afghanistan,0,0,1,1,2012
80,Cameroon,0,0,1,1,2012
81,Hong Kong,0,0,1,1,2012
82,Kuwait,0,0,1,1,2012
83,Morocco,0,0,1,1,2012
84,Saudi Arabia,0,0,1,1,2012
85,Tajikistan,0,0,1,1,2012
86,Vietnam,0,0,1,1,2012
