Rank,NOC,Gold,Silver,Bronze,Total,year
1,United States,46,37,38,121,2016
2,Great Britain,27,23,17,67,2016
3,China,26,18,26,70,2016
4,Russia,19,17,20,56,2016
5,Germany,17,10,15,42,2016
6,Japan,12,8,21,41,2016
7,France,10,18,14,42,2016
8,South Korea,9,3,9,21,2016
9,Italy,8,12,8,28,2016
10,Australia,8,11,10,29,2016
11,Netherlands,8,7,4,19,2016
12,Hungary,8,3,4,15,2016
13,Brazil,7,6,6,19,2016
14,Spain,7,4,6,17,2016
15,Kenya,6,6,1,13,2016
16,Jamaica,6,3,2,11,2016
17,Croatia,5,3,2,10,2016
18,Cuba,5,2,4,11,2016
19,New Zealand,4,9,5,18,2016
20,Canada,4,3,15,22,2016
21,Uzbekistan,4,2,7,13,2016
22,Colombia,3,2,3,8,2016
23,Switzerland,3,2,2,7,2016
24,Iran,3,1,4,8,2016
25,Greece,3,1,2,6,2016
26,Argentina,3,1,0,4,2016
27,Denmark,2,6,7,15,2016
28,Sweden,2,6,3,11,2016
29,South Africa,2,6,2,10,2016
30,Kazakhstan,2,5,10,17,2016
31,Ukraine,2,5,4,11,2016
32,Serbia,2,4,2,8,2016
33,Poland,2,3,6,11,2016
34,North Korea,2,3,2,7,2016
35,Belgium,2,2,2,6,2016
36,Thailand,2,2,2,6,2016
37,Slovakia,2,2,0,4,2016
38,Georgia,2,1,4,7,2016
39,Azerbaijan,1,7,10,18,2016
40,Belarus,1,4,4,9,2016
41,Turkey,1,3,4,8,2016
42,Armenia,1,3,0,4,2016
43,Czech Republic,1,2,7,10,2016
44,Ethiopia,1,2,5,8,2016
45,Slovenia,1,2,1,4,2016
46,Indonesia,1,2,0,3,2016
47,Romania,1,1,2,4,2016
48,Bahrain,1,1,0,2,2016
49,Vietnam,1,1,0,2,2016
50,Chinese Taipei,1,0,2,3,2016
51,Bahamas,1,0,1,2,2016
52,Independent Olympic Athletes,1,0,1,2,2016
53,Ivory Coast,1,0,1,2,2016
54,Fiji,1,0,0,1,2016
55,Jordan,1,0,0,1,2016
56,Kosovo,1,0,0,1,2016
57,Puerto Rico,1,0,0,1,2016
58,Singapore,1,0,0,1,2016
59,Tajikistan,1,0,0,1,2016
60,Malaysia,0,4,1,5,2016
61,Mexico,0,3,2,5,2016
62,Venezuela,0,2,1,3,2016
63,Algeria,0,2,0,2,2016
64,Ireland,0,2,0,2,2016
65,Lithuania,0,1,3,4,2016
66,Bulgaria,0,1,2,3,2016
67,India,0,1,1,2,2016
68,Mongolia,0,1,1,2,2016
69,Burundi,0,1,0,1,2016
70,Grenada,0,1,0,1,2016
71,Niger,0,1,0,1,2016
72,Philippines,0,1,0,1,2016
73,Qatar,0,1,0,1,2016
74,Norway,0,0,4,4,2016
75,Egypt,0,0,3,3,2016
76,Tunisia,0,0,3,3,2016
77,Israel,0,0,2,2,2016
78,Austria,0,0,1,1,2016
79,Dominican Republic,0,0,1,1,2016
80,Estonia,0,0,1,1,2016
81,Finland,0,0,1,1,2016
82,Morocco,0,0,1,1,2016
83,Nigeria,0,0,1,1,2016
84,Portugal,0,0,1,1,2016
85,Trinidad and Tobago,0,0,1,1,2016
86,United Arab Emirates,0,0,1,1,2016
