Rank,NOC,Gold,Silver,Bronze,Total,year
1,United States,40,44,42,126,2024
2,China,40,27,24,91,2024
3,Japan,20,12,13,45,2024
4,Australia,18,19,16,53,2024
5,France,16,26,22,64,2024
6,Netherlands,15,7,12,34,2024
7,Great Britain,14,22,29,65,2024
8,South Korea,13,9,10,32,2024
9,Italy,12,13,15,40,2024
10,Germany,12,13,8,33,2024
11,New Zealand,10,7,3,20,2024
12,Canada,9,7,11,27,2024
13,Uzbekistan,8,2,3,13,2024
14,Hungary,6,7,6,19,2024
15,Spain,5,4,9,18,2024
16,Sweden,4,4,3,11,2024
17,Kenya,4,2,5,11,2024
18,Norway,4,1,3,8,2024
19,Ireland,4,0,3,7,2024
20,Brazil,3,7,10,20,2024
21,Iran,3,6,3,12,2024
22,Ukraine,3,5,4,12,2024
23,Romania,3,4,2,9,2024
24,Georgia,3,3,1,7,2024
25,Belgium,3,1,6,10,2024
26,Bulgaria,3,1,3,7,2024
27,Serbia,3,1,1,5,2024
28,Czech Republic,3,0,2,5,2024
29,Denmark,2,2,5,9,2024
30,Azerbaijan,2,2,3,7,2024
31,Croatia,2,2,3,7,2024
32,Cuba,2,1,6,9,2024
33,Bahrain,2,1,1,4,2024
34,Slovenia,2,1,0,3,2024
35,Chinese Taipei,2,0,5,7,2024
36,Austria,2,0,3,5,2024
37,Hong Kong,2,0,2,4,2024
38,Philippines,2,0,2,4,2024
39,Algeria,2,0,1,3,2024
40,Indonesia,2,0,1,3,2024
41,Israel,1,5,1,7,2024
42,Poland,1,4,5,10,2024
43,Kazakhstan,1,3,3,7,2024
44,Jamaica,1,3,2,6,2024
45,South Africa,1,3,2,6,2024
46,Thailand,1,3,2,6,2024
47,Individual Neutral Athletes,1,3,1,5,2024
48,Ethiopia,1,3,0,4,2024
49,Switzerland,1,2,5,8,2024
50,Ecuador,1,2,2,5,2024
51,Portugal,1,2,1,4,2024
52,Greece,1,1,6,8,2024
53,Argentina,1,1,1,3,2024
54,Egypt,1,1,1,3,2024
55,Tunisia,1,1,1,3,2024
56,Botswana,1,1,0,2,2024
57,Chile,1,1,0,2,2024
58,Saint Lucia,1,1,0,2,2024
59,Uganda,1,1,0,2,2024
60,Dominican Republic,1,0,2,3,2024
61,Guatemala,1,0,1,2,2024
62,Morocco,1,0,1,2,2024
63,Dominica,1,0,0,1,2024
64,Pakistan,1,0,0,1,2024
65,Turkey,0,3,5,8,2024
66,Mexico,0,3,2,5,2024
67,Armenia,0,3,1,4,2024
68,Colombia,0,3,1,4,2024
69,Kyrgyzstan,0,2,4,6,2024
70,North Korea,0,2,4,6,2024
71,Lithuania,0,2,2,4,2024
72,India,0,1,5,6,2024
73,Moldova,0,1,3,4,2024
74,Kosovo,0,1,1,2,2024
75,Cyprus,0,1,0,1,2024
76,Fiji,0,1,0,1,2024
77,Jordan,0,1,0,1,2024
78,Mongolia,0,1,0,1,2024
79,Panama,0,1,0,1,2024
80,Tajikistan,0,0,3,3,2024
81,Albania,0,0,2,2,2024
82,Grenada,0,0,2,2,2024
83,Malaysia,0,0,2,2,2024
84,Puerto Rico,0,0,2,2,2024
85,Cape Verde,0,0,1,1,2024
86,Ivory Coast,0,0,1,1,2024
87,Peru,0,0,1,1,2024
88,Qatar,0,0,1,1,2024
89,Refugee Olympic Team,0,0,1,1,2024
90,Singapore,0,0,1,1,2024
91,Slovakia,0,0,1,1,2024
92,Zambia,0,0,1,1,2024
