Rank,NOC,Gold,Silver,Bronze,Total,year
1,Soviet Union,55,31,46,132,1988
2,East Germany,37,35,30,102,1988
3,United States,36,31,27,94,1988
4,South Korea,12,10,11,33,1988
5,West Germany,11,14,15,40,1988
6,Hungary,11,6,6,23,1988
7,Bulgaria,10,12,13,35,1988
8,Romania,7,11,6,24,1988
9,France,6,4,6,16,1988
10,Italy,6,4,4,14,1988
11,China,5,11,12,28,1988
12,Great Britain,5,10,9,24,1988
13,Kenya,5,2,2,9,1988
14,Japan,4,3,7,14,1988
15,Australia,3,6,5,14,1988
16,Yugoslavia,3,4,5,12,1988
17,Czechoslovakia,3,3,2,8,1988
18,New Zealand,3,2,8,13,1988
19,Canada,3,2,5,10,1988
20,Poland,2,5,9,16,1988
21,Norway,2,3,0,5,1988
22,Netherlands,2,2,5,9,1988
23,Denmark,2,1,1,4,1988
24,Brazil,1,2,3,6,1988
25,Finland,1,1,2,4,1988
26,Spain,1,1,2,4,1988
27,Turkey,1,1,0,2,1988
28,Morocco,1,0,2,3,1988
29,Austria,1,0,0,1,1988
30,Portugal,1,0,0,1,1988
31,Suriname,1,0,0,1,1988
32,Sweden,0,4,7,11,1988
33,Switzerland,0,2,2,4,1988
34,Jamaica,0,2,0,2,1988
35,Argentina,0,1,1,2,1988
36,Chile,0,1,0,1,1988
37,Costa Rica,0,1,0,1,1988
38,Indonesia,0,1,0,1,1988
39,Iran,0,1,0,1,1988
40,Netherlands Antilles,0,1,0,1,1988
41,Peru,0,1,0,1,1988
42,Senegal,0,1,0,1,1988
43,Virgin Islands,0,1,0,1,1988
44,Belgium,0,0,2,2,1988
45,Mexico,0,0,2,2,1988
46,Colombia,0,0,1,1,1988
47,Djibouti,0,0,1,1,1988
48,Greece,0,0,1,1,1988
49,Mongolia,0,0,1,1,1988
50,Pakistan,0,0,1,1,1988
51,Philippines,0,0,1,1,1988
52,Thailand,0,0,1,1,1988
1,Unified Team,45,38,29,112,1992
2,United States,37,34,37,108,1992
3,Germany,33,21,28,82,1992
4,China,16,22,16,54,1992
5,Cuba,14,6,11,31,1992
6,Spain*,13,7,2,22,1992
7,South Korea,12,5,12,29,1992
8,Hungary,11,12,7,30,1992
9,France,8,5,16,29,1992
10,Australia,7,9,11,27,1992
11,Canada,7,4,7,18,1992
12,Italy,6,5,8,19,1992
13,Great Britain,5,3,12,20,1992
14,Romania,4,6,8,18,1992
15,Czechoslovakia,4,2,1,7,1992
